customer_id,tenure_months,monthly_charges,support_tickets,payment_delays,churn_label
CUST-00001,52,119.41,2,0,0
CUST-00002,15,21.11,3,4,1
CUST-00003,61,93.02,4,2,1
CUST-00004,21,77.18,6,2,1
CUST-00005,24,63.41,5,4,1
CUST-00006,3,32.76,4,1,1
CUST-00007,22,60.91,7,0,1
CUST-00008,53,55.44,0,2,0
CUST-00009,2,50.28,6,4,1
CUST-00010,30,93.09,5,4,1
CUST-00011,38,90.07,4,3,1
CUST-00012,2,78.9,6,4,1
CUST-00013,64,113.87,2,1,0
CUST-00014,60,54.99,0,2,0
CUST-00015,21,44.38,8,3,1
CUST-00016,33,85.59,1,2,1
CUST-00017,58,39.88,9,2,1
CUST-00018,22,51.5,2,1,1
CUST-00019,49,42.46,7,4,1
CUST-00020,59,26.92,9,1,1
CUST-00021,42,102.75,8,4,1
CUST-00022,60,45.45,2,3,1
CUST-00023,15,67.3,5,1,1
CUST-00024,62,24.33,6,1,1
CUST-00025,62,89.93,0,0,0
CUST-00026,47,53.06,6,1,1
CUST-00027,62,94.47,3,0,0
CUST-00028,51,61.24,4,4,1
CUST-00029,55,39.58,7,4,1
CUST-00030,64,71.32,3,4,1
CUST-00031,3,33.05,3,0,1
CUST-00032,51,64.05,7,4,1
CUST-00033,7,51.73,4,2,1
CUST-00034,21,111.2,5,1,1
CUST-00035,39,26.09,4,0,1
CUST-00036,18,89.4,0,4,1
CUST-00037,4,38.28,6,2,1
CUST-00038,60,51.9,5,1,1
CUST-00039,14,61.55,1,1,1
CUST-00040,9,110.8,6,4,1
CUST-00041,53,44.26,5,2,1
CUST-00042,2,29.13,4,0,1
CUST-00043,60,51.87,7,4,1
CUST-00044,71,30.47,4,1,1
CUST-00045,44,32.86,1,1,1
CUST-00046,8,77.39,5,1,1
CUST-00047,47,26.09,0,4,1
CUST-00048,35,23.09,4,3,1
CUST-00049,36,91.44,5,3,1
CUST-00050,50,56.16,6,3,1
CUST-00051,4,32.54,1,2,1
CUST-00052,2,45.36,0,4,1
CUST-00053,6,84.21,5,1,1
CUST-00054,54,47.55,2,2,1
CUST-00055,4,69.45,4,3,1
CUST-00056,54,32.17,1,0,0
CUST-00057,63,78.81,0,2,0
CUST-00058,18,51.61,0,2,1
CUST-00059,44,82.7,3,4,1
CUST-00060,34,100.84,9,2,1
CUST-00061,62,81.16,1,4,1
CUST-00062,14,49.57,0,0,1
CUST-00063,48,45.57,5,1,1
CUST-00064,15,52.74,3,1,1
CUST-00065,62,36.46,9,3,1
CUST-00066,40,38.12,6,3,1
CUST-00067,53,99.07,5,0,1
CUST-00068,24,58.47,4,1,1
CUST-00069,26,63.6,9,3,1
CUST-00070,60,79.4,1,2,0
